"SETTLEMENTDATE","RUNNO","REGIONID","PERIODID","RRP","EEP","INVALIDFLAG","LASTCHANGED","ROP","RAISE6SECRRP","RAISE6SECROP","RAISE60SECRRP","RAISE60SECROP","RAISE5MINRRP","RAISE5MINROP","RAISEREGRRP","RAISEREGROP","LOWER6SECRRP","LOWER6SECROP","LOWER60SECRRP","LOWER60SECROP","LOWER5MINRRP","LOWER5MINROP","LOWERREGRRP","LOWERREGROP","PRICE_STATUS"
"1998-11-21 14:00:00",1,"QLD1",28,22.87000,0.00000,,"1998-11-21 13:55:06",22.87167,,,,,,,,,,,,,,,,,
"1998-11-21 14:00:00",1,"SA1",28,50.23000,0.00000,,"1998-11-21 13:55:06",50.23461,,,,,,,,,,,,,,,,,
"1998-11-21 14:00:00",1,"SNOWY1",28,45.92000,0.00000,,"1998-11-21 13:55:06",45.92275,,,,,,,,,,,,,,,,,
"1998-11-21 14:00:00",1,"VIC1",28,42.06000,0.00000,,"1998-11-21 13:55:06",42.06095,,,,,,,,,,,,,,,,,
"1998-11-21 14:30:00",1,"NSW1",29,10.22000,0.00000,,"1998-11-21 14:25:05",10.21858,,,,,,,,,,,,,,,,,
"1998-11-21 14:30:00",1,"QLD1",29,21.71000,0.00000,,"1998-11-21 14:25:05",21.71001,,,,,,,,,,,,,,,,,
"1998-11-21 14:30:00",1,"SA1",29,11.70000,0.00000,,"1998-11-21 14:25:05",11.69816,,,,,,,,,,,,,,,,,
"1998-11-21 14:30:00",1,"SNOWY1",29,9.93000,0.00000,,"1998-11-21 14:25:05",9.93500,,,,,,,,,,,,,,,,,
"1998-11-21 14:30:00",1,"VIC1",29,9.65000,0.00000,,"1998-11-21 14:25:05",9.64536,,,,,,,,,,,,,,,,,
"1998-11-21 15:00:00",1,"NSW1",30,10.13000,0.00000,,"1998-11-21 14:55:06",10.12961,,,,,,,,,,,,,,,,,
"1998-11-21 15:00:00",1,"QLD1",30,21.06000,0.00000,,"1998-11-21 14:55:06",21.05999,,,,,,,,,,,,,,,,,
"1998-11-21 15:00:00",1,"SA1",30,11.59000,0.00000,,"1998-11-21 14:55:06",11.58572,,,,,,,,,,,,,,,,,
"1998-11-21 15:00:00",1,"SNOWY1",30,9.85000,0.00000,,"1998-11-21 14:55:06",9.84783,,,,,,,,,,,,,,,,,
"1998-11-21 15:00:00",1,"VIC1",30,9.56000,0.00000,,"1998-11-21 14:55:06",9.56086,,,,,,,,,,,,,,,,,
"1998-11-21 15:30:00",1,"NSW1",31,9.34000,0.00000,,"1998-11-21 15:25:07",9.33887,,,,,,,,,,,,,,,,,
"1998-11-21 15:30:00",1,"QLD1",31,21.03000,0.00000,,"1998-11-21 15:25:07",21.02996,,,,,,,,,,,,,,,,,
"1998-11-21 15:30:00",1,"SA1",31,10.68000,0.00000,,"1998-11-21 15:25:07",10.67971,,,,,,,,,,,,,,,,,
"1998-11-21 15:30:00",1,"SNOWY1",31,9.09000,0.00000,,"1998-11-21 15:25:07",9.08851,,,,,,,,,,,,,,,,,
"1998-11-21 15:30:00",1,"VIC1",31,8.85000,0.00000,,"1998-11-21 15:25:07",8.84502,,,,,,,,,,,,,,,,,
"1998-11-21 16:00:00",1,"NSW1",32,9.96000,0.00000,,"1998-11-21 15:55:07",9.95778,,,,,,,,,,,,,,,,,
"1998-11-21 16:00:00",1,"QLD1",32,21.08000,0.00000,,"1998-11-21 15:55:07",21.08166,,,,,,,,,,,,,,,,,
"1998-11-21 16:00:00",1,"SA1",32,11.41000,0.00000,,"1998-11-21 15:55:07",11.41329,,,,,,,,,,,,,,,,,
"1998-11-21 16:00:00",1,"SNOWY1",32,9.71000,0.00000,,"1998-11-21 15:55:07",9.71352,,,,,,,,,,,,,,,,,
"1998-11-21 16:00:00",1,"VIC1",32,9.47000,0.00000,,"1998-11-21 15:55:07",9.47001,,,,,,,,,,,,,,,,,
"1998-11-21 16:30:00",1,"NSW1",33,8.36000,0.00000,,"1998-11-21 16:25:08",8.36376,,,,,,,,,,,,,,,,,
"1998-11-21 16:30:00",1,"QLD1",33,21.09000,0.00000,,"1998-11-21 16:25:08",21.09334,,,,,,,,,,,,,,,,,
"1998-11-21 16:30:00",1,"SA1",33,9.64000,0.00000,,"1998-11-21 16:25:08",9.63752,,,,,,,,,,,,,,,,,
"1998-11-21 16:30:00",1,"SNOWY1",33,8.18000,0.00000,,"1998-11-21 16:25:08",8.18252,,,,,,,,,,,,,,,,,
"1998-11-21 16:30:00",1,"VIC1",33,8.00000,0.00000,,"1998-11-21 16:25:08",7.99518,,,,,,,,,,,,,,,,,
"1998-11-21 17:00:00",1,"NSW1",34,9.91000,0.00000,,"1998-11-21 16:55:06",9.90821,,,,,,,,,,,,,,,,,
"1998-11-21 17:00:00",1,"QLD1",34,21.12000,0.00000,,"1998-11-21 16:55:06",21.12001,,,,,,,,,,,,,,,,,
"1998-11-21 17:00:00",1,"SA1",34,11.40000,0.00000,,"1998-11-21 16:55:06",11.40251,,,,,,,,,,,,,,,,,
"1998-11-21 17:00:00",1,"SNOWY1",34,9.70000,0.00000,,"1998-11-21 16:55:06",9.69724,,,,,,,,,,,,,,,,,
